               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.040143,            0.052296,           0.0057392,             0.70069,             0.51023,             0.57471,             0.36386,            0.042604,            0.046866,           0.0086409,            0.003961,            0.003961,            0.003961
                  63,            0.040082,            0.052367,            0.005594,             0.68677,              0.5179,             0.57464,             0.36351,            0.042648,            0.046967,           0.0086793,            0.003862,            0.003862,            0.003862
                  64,            0.040033,            0.051873,           0.0054095,             0.67812,             0.52141,              0.5736,             0.36265,             0.04271,            0.047033,           0.0087139,            0.003763,            0.003763,            0.003763
                  65,            0.040003,            0.051642,            0.005463,             0.66956,             0.52873,             0.57381,             0.36344,             0.04277,            0.047058,           0.0087401,            0.003664,            0.003664,            0.003664
                  66,            0.039844,            0.051971,           0.0054094,             0.66367,             0.53174,             0.57333,             0.36332,             0.04281,              0.0471,           0.0087583,            0.003565,            0.003565,            0.003565
                  67,            0.039552,             0.05157,           0.0053754,              0.6605,             0.53067,             0.57286,             0.36346,            0.042818,            0.047124,           0.0087449,            0.003466,            0.003466,            0.003466
                  68,            0.039669,            0.051661,             0.00537,             0.68347,             0.51631,             0.57318,             0.36306,             0.04284,             0.04722,           0.0087374,            0.003367,            0.003367,            0.003367
                  69,            0.039624,            0.051475,           0.0052987,             0.66176,             0.52782,             0.57299,             0.36279,            0.042849,            0.047292,           0.0087351,            0.003268,            0.003268,            0.003268
                  70,            0.039558,            0.050744,           0.0053188,             0.66317,             0.52794,             0.57364,             0.36306,            0.042875,            0.047325,           0.0087444,            0.003169,            0.003169,            0.003169
                  71,            0.039391,            0.051208,           0.0052119,             0.67379,             0.52237,              0.5728,             0.36302,            0.042882,            0.047305,           0.0087659,             0.00307,             0.00307,             0.00307
                  72,            0.039346,            0.051352,           0.0053223,             0.67303,             0.52518,             0.57354,             0.36302,            0.042894,            0.047352,           0.0087831,            0.002971,            0.002971,            0.002971
                  73,            0.038986,            0.050218,             0.00507,             0.67359,             0.52398,             0.57344,             0.36325,            0.042915,            0.047408,           0.0088037,            0.002872,            0.002872,            0.002872
                  74,             0.03905,            0.050342,            0.005073,             0.67809,             0.52162,             0.57241,             0.36282,            0.042919,            0.047458,           0.0088175,            0.002773,            0.002773,            0.002773
                  75,            0.038814,            0.049706,           0.0050791,             0.67368,             0.52321,              0.5718,             0.36306,            0.042929,            0.047494,           0.0088291,            0.002674,            0.002674,            0.002674
                  76,             0.03892,            0.050281,           0.0049766,             0.67119,              0.5232,             0.57129,             0.36274,            0.042941,            0.047548,           0.0088532,            0.002575,            0.002575,            0.002575
                  77,            0.038815,            0.049824,           0.0049544,             0.66434,             0.52687,             0.57119,             0.36281,            0.042942,            0.047594,           0.0088619,            0.002476,            0.002476,            0.002476
